player_id,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,total_offside,touches,total_pass,total_through_ball,total_cross,corner_taken
160036,107,39,3,5,3,0,17,1392,830,3,23,0
47184,107,46,4,1,3,0,17,1277,827,9,42,27
19511,91,36,2,2,0,0,6,1477,1011,6,8,0
19595,88,28,4,0,2,1,2,2336,1624,27,259,152
161349,86,36,0,3,1,0,12,997,558,4,10,0
94217,81,36,3,3,1,1,17,1099,680,7,79,0
133646,81,30,3,3,0,0,16,1327,676,6,49,2
19620,79,35,6,1,5,0,10,1134,699,8,27,6
31712,79,26,4,1,0,0,10,1512,1008,9,47,0
136935,78,36,3,3,0,0,23,741,371,2,11,0
161464,77,32,4,0,0,0,8,970,499,1,20,0
6009,76,28,5,2,2,0,6,603,354,1,9,0
41062,75,34,1,4,0,0,9,878,477,2,17,0
31068,75,38,2,2,0,0,16,771,465,1,5,1
130627,75,34,1,0,2,0,16,795,482,0,7,0
130045,74,18,1,0,0,1,4,2177,1473,19,221,157
160424,71,27,3,0,0,0,2,1620,1057,2,122,76
20239,68,31,3,1,0,0,16,1114,636,5,55,30
6566,66,28,1,2,2,0,14,807,448,11,19,0
19619,66,34,1,2,0,0,11,947,568,5,8,0
129752,64,21,5,0,1,0,18,1265,721,3,96,34
30549,63,30,2,2,0,0,11,1444,912,5,37,1
11259,63,36,2,3,4,0,23,625,356,3,24,0
131743,62,23,1,0,0,0,3,1238,708,3,37,0
6623,60,22,1,0,3,1,4,1720,1182,4,136,86
131779,58,26,1,0,1,2,11,1383,938,11,77,46
11653,57,18,2,0,0,0,3,1923,1196,2,114,66
106028,54,12,0,0,0,0,4,1871,1441,0,23,2
133651,53,22,0,0,0,0,4,942,599,5,36,0
52277,53,26,0,5,0,0,31,678,396,1,8,0
160522,52,25,0,0,0,0,18,1101,726,2,8,0
160688,51,23,1,1,0,0,8,1306,676,2,21,1
144698,50,21,0,2,0,0,2,853,503,4,28,4
49704,49,8,1,0,0,0,0,1964,1615,5,34,9
160034,49,19,2,0,1,0,11,843,440,1,98,18
95187,49,22,2,2,1,0,15,651,352,2,9,0
161402,49,17,1,0,0,2,1,840,532,6,31,20
161459,48,16,2,0,0,0,5,1245,779,3,31,0
94228,48,13,0,1,0,0,4,1142,643,6,18,4
160314,48,11,1,0,0,0,1,1828,1422,12,48,13
13935,48,11,1,0,0,0,15,1852,945,1,59,0
160671,47,15,1,0,0,0,20,1248,735,3,5,0
48542,47,21,1,1,0,0,10,705,405,3,14,0
154335,46,14,1,0,0,0,20,1217,687,2,35,0
160783,46,17,3,0,1,0,4,1138,632,10,100,63
6447,46,22,0,0,1,2,0,2045,1333,2,216,148
91050,45,19,1,0,0,0,9,709,326,5,36,0
135200,44,17,2,0,0,0,0,1019,572,3,56,19
14290,44,18,0,1,0,0,27,812,430,2,21,0
160847,43,21,0,1,0,0,4,876,524,1,8,0
44030,43,13,2,1,0,0,2,1478,1117,1,59,18
14848,42,19,0,0,1,0,6,1229,803,4,7,4
160672,41,11,1,0,0,0,4,683,286,0,58,11
90860,41,9,0,0,0,0,1,2224,1686,4,27,1
159627,41,20,0,0,0,0,2,1138,684,4,92,4
128766,41,13,2,0,0,0,0,1553,815,4,203,49
52240,41,14,1,0,1,0,2,1235,800,3,121,65
30533,40,10,0,0,0,1,1,3247,2168,5,337,140
10314,40,12,0,0,1,0,13,486,251,3,5,0
53178,40,8,1,0,0,0,7,1462,1080,2,53,3
133644,39,18,0,0,0,0,10,800,494,2,7,0
161990,39,11,0,0,0,0,9,757,370,0,73,0
130310,38,16,0,0,0,0,3,756,438,1,21,0
128570,38,16,0,0,0,0,3,1490,968,3,21,4
160156,38,18,1,0,1,0,6,976,569,7,25,0
130050,38,9,1,0,0,0,1,2085,1583,3,63,42
115748,37,14,0,0,0,0,3,1053,703,2,65,38
160846,37,16,2,1,0,0,2,766,331,2,37,0
12507,36,18,0,1,2,0,9,813,550,1,6,1
159689,35,18,1,0,0,0,14,620,367,0,7,0
160587,35,9,1,0,0,0,15,461,223,1,4,0
19695,35,11,2,1,0,1,1,1043,769,3,68,48
135191,35,9,1,0,0,0,5,1374,607,8,156,0
5745,34,12,1,0,0,0,3,1332,1105,11,29,5
160683,34,11,0,0,0,0,0,1361,994,3,20,2
93882,33,10,1,0,0,0,0,650,467,5,9,3
130624,33,8,0,0,0,0,2,2065,1252,17,152,101
159637,33,11,0,0,0,0,7,940,631,4,49,17
157053,33,8,1,0,0,0,2,885,591,3,35,0
23607,32,16,1,1,0,0,2,1873,1211,1,38,0
161463,32,13,2,1,0,0,11,576,336,0,18,0
179384,32,8,0,0,0,0,0,1299,855,4,98,48
160732,31,8,0,0,0,0,1,1619,1058,1,12,0
30926,31,11,0,0,0,0,1,1408,939,3,139,75
7018,31,8,1,0,1,0,2,2019,1773,7,29,22
180060,30,13,2,0,2,0,1,606,425,5,42,31
31015,30,13,0,1,0,0,1,1722,1365,0,3,0
32114,29,14,3,0,0,0,11,472,270,2,4,0
154766,29,12,0,0,0,0,10,317,121,1,9,0
139564,29,14,1,0,0,0,2,445,316,0,9,1
143584,29,10,2,1,0,0,0,1952,1456,8,46,17
43231,29,10,0,0,0,0,0,1323,935,2,14,0
7748,29,8,0,0,2,1,1,1683,1245,3,130,89
159713,29,8,2,0,0,0,4,939,605,1,69,11
13742,28,9,1,1,0,1,0,2374,1986,1,1,0
161345,28,8,0,1,0,0,6,2507,2111,1,2,0
135243,28,10,0,1,0,0,1,1506,1226,1,4,0
93725,28,8,1,0,0,0,9,501,283,5,34,2
10059,27,12,0,0,0,1,1,1203,770,2,174,64
48182,27,9,1,0,0,1,5,1158,815,5,126,70
180025,26,9,0,0,0,1,2,913,674,5,72,47
135175,26,2,1,1,0,0,1,1538,1189,0,5,0
51703,26,8,0,1,0,0,0,2060,1631,3,37,0
92622,26,12,1,4,0,0,1,3097,2772,7,0,0
47172,25,7,1,1,0,0,3,1517,1166,1,5,0
6773,25,9,0,0,0,0,1,759,494,1,48,39
52229,25,6,0,0,0,0,3,1764,1178,4,34,1
144510,25,5,2,0,0,0,3,630,367,0,4,0
35018,24,7,1,1,0,0,2,1090,714,1,51,1
134236,24,4,1,0,0,0,3,2023,1105,1,229,97
47195,24,2,0,0,0,0,1,1040,640,1,42,22
160897,24,9,0,0,0,0,4,276,107,1,10,0
135591,24,7,0,0,0,0,0,883,616,1,33,12
6280,23,6,0,0,0,0,3,2754,1920,0,103,0
129750,23,8,0,1,0,0,1,2460,2077,1,5,0
91606,23,12,0,2,0,0,9,317,183,3,2,0
134321,23,4,0,0,0,0,2,1131,726,1,15,0
132927,23,8,1,0,0,0,2,1301,894,5,34,5
35017,22,6,0,0,0,0,4,870,545,1,30,6
43135,22,8,1,0,0,1,4,705,474,1,83,40
18957,22,10,0,0,0,0,0,464,313,4,20,1
35800,22,8,0,1,0,0,2,1688,1334,1,7,0
23462,22,5,1,0,1,1,2,1683,1062,2,80,39
52102,21,4,1,0,0,0,2,612,382,0,56,17
162020,21,9,2,1,0,0,0,747,483,8,41,1
160054,21,5,0,0,0,0,0,2050,1699,10,8,0
26151,21,7,0,0,0,0,4,963,714,5,43,33
30598,21,7,1,0,0,0,0,578,332,0,67,45
133641,21,6,0,0,0,1,3,2127,1585,4,202,152
52974,21,10,1,0,0,0,4,875,505,3,136,73
6363,21,4,2,0,0,0,0,1321,1077,1,4,1
131781,21,10,1,0,0,0,8,443,324,2,14,0
161456,20,3,1,0,0,0,7,309,169,2,9,0
