index,playerId,shirtNum,positionInfo,loan,nationalTeamID,currentTeamId,birth,birthCountryId,playerName
0,94217,14.0,Centre Striker,False,GA,1,6/18/1989,FR,Pierre-Emerick Aubameyang
1,11259,9.0,Centre Striker,False,GB-ENG,26,1/11/1987,GB-ENG,Jamie Vardy
2,161464,9.0,Centre Striker,False,GB-ENG,20,7/23/1992,GB-ENG,Danny Ings
3,47184,11.0,Left/Centre/Right Winger,False,EG,10,6/15/1992,EG,Mohamed Salah
4,6009,10.0,Centre Striker,False,AR,11,6/2/1988,AR,Sergio Agüero
5,160036,9.0,Centre Striker,False,MX,38,5/5/1991,MX,Raúl Jiménez
6,30549,10.0,Left/Right Winger,False,SN,10,4/10/1992,SN,Sadio Mané
7,19619,9.0,Left/Centre Second Striker,False,FR,12,12/5/1995,FR,Anthony Martial
8,19620,10.0,Left/Centre Second Striker,False,GB-ENG,12,10/31/1997,GB-ENG,Marcus Rashford
9,136935,18.0,Centre Striker,True,GB-ENG,4,10/2/1997,GB-ENG,Tammy Abraham
10,41062,9.0,Left/Centre Second Striker,False,GB-ENG,7,3/16/1997,GB-ENG,Dominic Calvert-Lewin
11,6566,32.0,Centre Striker,True,GB-ENG,21,7/28/1993,GB-ENG,Harry Kane
12,31712,,Forward,False,GB-ENG,11,12/8/1994,JM,Raheem Sterling
13,133646,7.0,Left/Centre/Right Second Striker,False,BR,7,5/10/1997,BR,Richarlison
14,19595,17.0,Left/Centre/Right Attacking Midfielder,False,BE,11,6/28/1991,BE,Kevin De Bruyne
15,130627,22.0,Centre Striker,False,FI,14,3/29/1990,FI,Teemu Pukki
16,52277,9.0,Centre Striker,False,NZ,43,12/7/1991,NZ,Chris Wood
17,31068,9.0,Left/Centre/Right Second Striker,False,BR,11,4/3/1997,BR,Gabriel Jesus
18,160688,9.0,Centre Striker,False,GH,6,9/11/1991,FR,Jordan Ayew
19,131779,26.0,Left/Right Winger,False,DZ,11,2/21/1991,FR,Riyad Mahrez
20,161349,,Centre Striker,False,FR,131,8/14/1996,FR,Neal Maupay
21,20239,7.0,Left/Centre/Right Winger,False,KR,21,7/8/1992,KR,Son Heung-Min
22,14848,14.0,Central Midfielder,True,GB-ENG,21,4/11/1996,GB-ENG,Dele Alli
23,19511,9.0,Left/Centre/Right Striker,False,BR,10,10/2/1991,BR,Roberto Firmino
24,6623,10.0,Left/Centre/Right Winger,False,BR,4,8/9/1988,BR,Willian
25,14290,13.0,Centre Striker,False,GB-ENG,127,2/27/1992,GB-ENG,Callum Wilson
26,11653,7.0,Winger,True,GB-ENG,2,9/10/1995,GB-ENG,Jack Grealish
27,160522,22.0,Centre Striker,False,FR,25,6/22/1994,FR,Sébastien Haller
28,48542,9.0,Centre Striker,False,FR,1,5/28/1991,FR,Alexandre Lacazette
29,160156,17.0,Centre/Right Striker,False,ES,26,7/29/1993,ES,Ayoze Pérez
30,144698,22.0,Left/Centre/Right Attacking Midfielder,True,US,4,9/18/1998,US,Christian Pulisic
31,161402,22.0,Left/Right Winger,True,GB-WLS,127,3/22/1997,GB-WLS,Harry Wilson
32,133651,15.0,Left Winger,True,GB-ENG,26,12/9/1997,GB-ENG,Harvey Barnes
33,10314,10.0,Centre Striker,False,GB-ENG,43,10/30/1989,GB-ENG,Ashley Barnes
34,128570,36.0,Centre Central Midfielder,True,GB-ENG,14,2/27/1998,GB-ENG,Todd Cantwell
35,12507,9.0,Centre Striker,False,GB-ENG,33,6/29/1988,GB-ENG,Troy Deeney
36,139564,26.0,Centre Striker,False,GB-ENG,12,10/1/2001,GB-ENG,Mason Greenwood
37,130045,10.0,Left/Centre/Right Attacking Midfielder,False,GB-ENG,26,11/23/1996,GB-ENG,James Maddison
38,160424,19.0,Centre Attacking Midfielder,False,GB-ENG,4,1/10/1999,GB-ENG,Mason Mount
39,160587,22.0,Centre Striker,False,FR,18,2/8/1996,FR,Lys Mousset
40,95187,19.0,Left/Centre/Right Second Striker,False,GB-ENG,43,7/29/1989,GB-ENG,Jay Rodriguez
41,131743,18.0,Centre Striker,False,PT,38,12/4/1996,PT,Diogo Jota
42,180060,18.0,Left/Centre/Right Attacking Midfielder,False,PT,12,9/8/1994,PT,Bruno Fernandes
43,30926,4.0,Centre Central Midfielder,False,GB-SCT,18,8/24/1991,GB-SCT,John Fleck
44,160847,9.0,Centre Striker,False,GB-SCT,18,6/4/1996,GB-ENG,Oliver McBurnie
45,159689,9.0,Centre Striker,False,BR,2,11/26/1996,BR,Wesley
46,160783,19.0,Right Winger,False,CI,1,5/29/1995,FR,Nicolas Pépé
47,161990,23.0,Left/Right Winger,False,SN,33,2/25/1998,SN,Ismaila Sarr
48,19695,8.0,Centre Central Midfielder,False,GB-ENG,23,2/27/1992,GB-ENG,Jonjo Shelvey
49,52974,7.0,Left/Right Attacking Midfielder,True,GB-SCT,25,9/7/1987,GB-SCT,Robert Snodgrass
50,44030,20.0,Left/Centre Attacking Midfielder,False,PT,11,8/10/1994,PT,Bernardo Silva
51,6447,16.0,Centre Central Midfielder,False,GB-ENG,20,11/1/1994,GB-ENG,James Ward-Prowse
52,35018,3.0,Left Full Back,False,ES,4,12/28/1990,ES,Marcos Alonso
53,130310,17.0,Left Winger,False,GB-SCT,20,3/30/1992,GB-SCT,Stuart Armstrong
54,129752,7.0,Left/Right Winger,False,ES,33,3/13/1994,ES,Gerard Deulofeu
55,23607,2.0,Left/Right Full Back,False,IE,38,1/16/1992,IE,Matt Doherty
56,106028,16.0,Centre Central Midfielder,True,FR,33,1/1/1993,FR,Abdoulaye Doucouré
57,160034,21.0,Left/Right Winger,False,NL,2,5/3/1995,NL,Anwar El Ghazi
58,52220,47.0,Centre/Right Attacking Midfielder,False,GB-ENG,11,5/28/2000,GB-ENG,Phil Foden
59,132771,5.0,Centre Central Midfielder,False,IT,4,12/20/1991,BR,Jorginho
60,91606,14.0,Centre Striker,False,NG,26,10/3/1996,NG,Kelechi Iheanacho
61,18721,7.0,Centre/Right Second Striker,False,NO,127,1/15/1992,NO,Joshua King
62,53178,7.0,Centre Central Midfielder,False,GB-ENG,18,2/18/1994,GB-ENG,John Lundstram
63,43231,39.0,Centre Attacking Midfielder,False,GB-SCT,12,12/8/1996,GB-ENG,Scott McTominay
