playerId,info_shirtNum,info_positionInfo,info_loan,nationalTeam_isoCode,currentTeam_club_id,birth_date_label,birth_country_isoCode,name_display
94217,14,Centre Striker,FALSE,GA,1,6/18/1989,FR,Pierre-Emerick Aubameyang
11259,9,Centre Striker,FALSE,GB-ENG,26,1/11/1987,GB-ENG,Jamie Vardy
161464,9,Centre Striker,FALSE,GB-ENG,20,7/23/1992,GB-ENG,Danny Ings
47184,11,Left/Centre/Right Winger,FALSE,EG,10,6/15/1992,EG,Mohamed Salah
6009,10,Centre Striker,FALSE,AR,11,6/2/1988,AR,Sergio Agüero
160036,9,Centre Striker,FALSE,MX,38,5/5/1991,MX,Raúl Jiménez
30549,10,Left/Right Winger,FALSE,SN,10,4/10/1992,SN,Sadio Mané
19619,9,Left/Centre Second Striker,FALSE,FR,12,12/5/1995,FR,Anthony Martial
19620,10,Left/Centre Second Striker,FALSE,GB-ENG,12,10/31/1997,GB-ENG,Marcus Rashford
136935,18,Centre Striker,TRUE,GB-ENG,4,10/2/1997,GB-ENG,Tammy Abraham
41062,9,Left/Centre Second Striker,FALSE,GB-ENG,7,3/16/1997,GB-ENG,Dominic Calvert-Lewin
6566,32,Centre Striker,TRUE,GB-ENG,21,7/28/1993,GB-ENG,Harry Kane
31712,,Forward,FALSE,GB-ENG,11,12/8/1994,JM,Raheem Sterling
133646,7,Left/Centre/Right Second Striker,FALSE,BR,7,5/10/1997,BR,Richarlison
19595,17,Left/Centre/Right Attacking Midfielder,FALSE,BE,11,6/28/1991,BE,Kevin De Bruyne
130627,22,Centre Striker,FALSE,FI,14,3/29/1990,FI,Teemu Pukki
52277,9,Centre Striker,FALSE,NZ,43,12/7/1991,NZ,Chris Wood
31068,9,Left/Centre/Right Second Striker,FALSE,BR,11,4/3/1997,BR,Gabriel Jesus
160688,9,Centre Striker,FALSE,GH,6,9/11/1991,FR,Jordan Ayew
131779,26,Left/Right Winger,FALSE,DZ,11,2/21/1991,FR,Riyad Mahrez
161349,,Centre Striker,FALSE,FR,131,8/14/1996,FR,Neal Maupay
20239,7,Left/Centre/Right Winger,FALSE,KR,21,7/8/1992,KR,Son Heung-Min
14848,14,Central Midfielder,TRUE,GB-ENG,21,4/11/1996,GB-ENG,Dele Alli
19511,9,Left/Centre/Right Striker,FALSE,BR,10,10/2/1991,BR,Roberto Firmino
6623,10,Left/Centre/Right Winger,FALSE,BR,4,8/9/1988,BR,Willian
14290,13,Centre Striker,FALSE,GB-ENG,127,2/27/1992,GB-ENG,Callum Wilson
11653,7,Winger,TRUE,GB-ENG,2,9/10/1995,GB-ENG,Jack Grealish
160522,22,Centre Striker,FALSE,FR,25,6/22/1994,FR,Sébastien Haller
48542,9,Centre Striker,FALSE,FR,1,5/28/1991,FR,Alexandre Lacazette
160156,17,Centre/Right Striker,FALSE,ES,26,7/29/1993,ES,Ayoze Pérez
144698,22,Left/Centre/Right Attacking Midfielder,TRUE,US,4,9/18/1998,US,Christian Pulisic
161402,22,Left/Right Winger,TRUE,GB-WLS,127,3/22/1997,GB-WLS,Harry Wilson
133651,15,Left Winger,TRUE,GB-ENG,26,12/9/1997,GB-ENG,Harvey Barnes
10314,10,Centre Striker,FALSE,GB-ENG,43,10/30/1989,GB-ENG,Ashley Barnes
128570,36,Centre Central Midfielder,TRUE,GB-ENG,14,2/27/1998,GB-ENG,Todd Cantwell
12507,9,Centre Striker,FALSE,GB-ENG,33,6/29/1988,GB-ENG,Troy Deeney
139564,26,Centre Striker,FALSE,GB-ENG,12,10/1/2001,GB-ENG,Mason Greenwood
130045,10,Left/Centre/Right Attacking Midfielder,FALSE,GB-ENG,26,11/23/1996,GB-ENG,James Maddison
160424,19,Centre Attacking Midfielder,FALSE,GB-ENG,4,1/10/1999,GB-ENG,Mason Mount
160587,22,Centre Striker,FALSE,FR,18,2/8/1996,FR,Lys Mousset
95187,19,Left/Centre/Right Second Striker,FALSE,GB-ENG,43,7/29/1989,GB-ENG,Jay Rodriguez
131743,18,Centre Striker,FALSE,PT,38,12/4/1996,PT,Diogo Jota
180060,18,Left/Centre/Right Attacking Midfielder,FALSE,PT,12,9/8/1994,PT,Bruno Fernandes
30926,4,Centre Central Midfielder,FALSE,GB-SCT,18,8/24/1991,GB-SCT,John Fleck
160847,9,Centre Striker,FALSE,GB-SCT,18,6/4/1996,GB-ENG,Oliver McBurnie
159689,9,Centre Striker,FALSE,BR,2,11/26/1996,BR,Wesley
160783,19,Right Winger,FALSE,CI,1,5/29/1995,FR,Nicolas Pépé
161990,23,Left/Right Winger,FALSE,SN,33,2/25/1998,SN,Ismaila Sarr
19695,8,Centre Central Midfielder,FALSE,GB-ENG,23,2/27/1992,GB-ENG,Jonjo Shelvey
52974,7,Left/Right Attacking Midfielder,TRUE,GB-SCT,25,9/7/1987,GB-SCT,Robert Snodgrass
44030,20,Left/Centre Attacking Midfielder,FALSE,PT,11,8/10/1994,PT,Bernardo Silva
6447,16,Centre Central Midfielder,FALSE,GB-ENG,20,11/1/1994,GB-ENG,James Ward-Prowse
35018,3,Left Full Back,FALSE,ES,4,12/28/1990,ES,Marcos Alonso
130310,17,Left Winger,FALSE,GB-SCT,20,3/30/1992,GB-SCT,Stuart Armstrong
129752,7,Left/Right Winger,FALSE,ES,33,3/13/1994,ES,Gerard Deulofeu
23607,2,Left/Right Full Back,FALSE,IE,38,1/16/1992,IE,Matt Doherty
106028,16,Centre Central Midfielder,TRUE,FR,33,1/1/1993,FR,Abdoulaye Doucouré
160034,21,Left/Right Winger,FALSE,NL,2,5/3/1995,NL,Anwar El Ghazi
