info_position,info_positionInfo
F,Centre Striker
F,Left/Centre/Right Winger
F,Left/Right Winger
F,Left/Centre Second Striker
F,Forward
F,Left/Centre/Right Second Striker
M,Left/Centre/Right Attacking Midfielder
M,Central Midfielder
F,Left/Centre/Right Striker
M,Winger
F,Centre/Right Striker
M,Left Winger
M,Centre Central Midfielder
M,Centre Attacking Midfielder
F,Right Winger
M,Left/Right Attacking Midfielder
M,Left/Centre Attacking Midfielder
D,Left Full Back
D,Left/Right Full Back
F,Centre/Right Attacking Midfielder
F,Centre/Right Second Striker
D,Centre Central Defender
D,Right Full Back
D,Full Back
D,Defender
M,Centre/Right Central Midfielder
M,Midfielder
M,Left/Centre/Right Central Midfielder
D,Left/Centre Central Defender
D,Central Defender
M,Centre Defensive Midfielder
D,Centre/Right Central Defender
D,Right Wing Back
F,Striker
D,Left/Centre/Right Central Defender
D,Left Wing Back
F,Centre Second Striker
G,Goalkeeper
M,Left Attacking Midfielder
M,Attacking Midfielder
M,Left/Centre Central Midfielder
D,Left/Right Wing Back
D,Centre/Right Full Back
